 ,Label,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
546,2015-08-06-20150731DJ-41-B.tif,7.439E1,6.192E1,1.124E1,8.112E1,9.746E1,5.186E1,1.012E1
547,2015-08-06-20150731DJ-42-B.tif,1.276E0,9.199E0,1.925E0,8.022E1,9.009E1,1.460E2,1.500E0
548,2015-08-06-20150731DJ-42-B.tif,1.876E-1,1.980E0,6.579E-1,8.241E1,9.065E1,5.839E1,5.348E-1
549,2015-08-06-20150731DJ-42-B.tif,1.393E-1,2.325E0,6.815E-1,8.384E1,9.017E1,1.247E2,4.811E-1
550,2015-08-06-20150731DJ-42-B.tif,6.797E1,5.835E1,1.068E1,7.767E1,9.440E1,4.860E0,9.371E0
551,2015-08-06-20150731DJ-43-B.tif,5.547E1,4.092E1,9.441E0,7.823E1,9.440E1,1.046E0,8.635E0
552,2015-08-06-20150731DJ-44-B.tif,4.793E-1,3.828E0,1.297E0,8.073E1,9.078E1,2.145E1,7.425E-1
553,2015-08-06-20150731DJ-44-B.tif,3.553E1,3.463E1,8.336E0,7.849E1,9.159E1,1.428E2,6.879E0
554,2015-08-06-20150731DJ-44-B.tif,1.356E-1,2.777E0,9.062E-1,7.961E1,9.513E1,1.153E2,3.589E-1
555,2015-08-06-20150731DJ-45-B.tif,4.985E1,4.042E1,9.331E0,8.060E1,9.091E1,1.525E2,8.651E0
556,2015-08-06-20150731DJ-46-B.tif,1.616E-1,2.031E0,6.466E-1,1.002E2,9.082E1,1.431E2,4.364E-1
557,2015-08-06-20150731DJ-46-B.tif,5.670E1,6.995E1,1.040E1,9.733E1,1.005E2,6.577E1,9.133E0
558,2015-08-06-20150731DJ-47-B.tif,4.397E1,4.587E1,9.567E0,8.358E1,8.776E1,1.221E2,7.886E0
559,2015-08-06-20150731DJ-47-B.tif,6.317E-1,6.454E0,1.474E0,8.078E1,9.246E1,5.213E1,9.096E-1
560,2015-08-06-20150731DJ-47-B.tif,1.278E0,6.691E0,1.928E0,8.116E1,9.448E1,1.030E1,1.207E0
561,2015-08-06-20150731DJ-48-B.tif,5.053E1,4.857E1,9.546E0,7.328E1,8.716E1,1.183E2,8.583E0
562,2015-08-06-20150731DJ-49-B.tif,6.570E1,5.408E1,1.070E1,7.526E1,8.927E1,4.075E1,9.516E0
563,2015-08-06-20150731DJ-49-B.tif,1.765E-1,2.529E0,7.017E-1,8.375E1,8.267E1,1.694E2,5.066E-1
564,2015-08-06-20150731DJ-5-B.tif,5.778E-1,4.122E0,1.300E0,8.690E1,8.776E1,8.429E1,8.421E-1
565,2015-08-06-20150731DJ-5-B.tif,4.775E-1,4.427E0,1.202E0,8.513E1,9.125E1,1.045E2,9.578E-1
566,2015-08-06-20150731DJ-50-B.tif,6.686E1,5.786E1,1.072E1,7.871E1,9.000E1,4.611E0,9.439E0
567,2015-08-06-20150731DJ-51-B.tif,6.864E1,4.707E1,1.043E1,8.030E1,9.793E1,5.138E1,9.669E0
568,2015-08-06-20150731DJ-52-B.tif,5.269E1,5.371E1,9.984E0,8.616E1,9.129E1,1.227E2,8.523E0
569,2015-08-06-20150731DJ-53-B.tif,6.264E1,5.099E1,1.045E1,8.280E1,9.591E1,5.474E1,9.249E0
570,2015-08-06-20150731DJ-54-B.tif,5.894E1,4.564E1,1.057E1,7.927E1,9.405E1,1.585E1,8.448E0
571,2015-08-06-20150731DJ-6-B.tif,2.360E-1,2.874E0,9.325E-1,8.194E1,8.884E1,1.463E2,5.015E-1
572,2015-08-06-20150731DJ-6-B.tif,8.231E-1,5.768E0,1.583E0,7.677E1,9.194E1,1.506E2,1.035E0
573,2015-08-06-20150731DJ-6-B.tif,5.444E-1,3.498E0,1.091E0,8.082E1,9.190E1,1.709E2,8.102E-1
574,2015-08-06-20150731DJ-7-B.tif,4.139E1,7.692E1,9.987E0,8.513E1,9.345E1,8.554E1,8.469E0
575,2015-08-06-20150731DJ-7-B.tif,1.598E-1,2.224E0,7.378E-1,8.478E1,8.362E1,9.671E1,4.310E-1
576,2015-08-06-20150731DJ-7-B.tif,1.858E-1,1.955E0,7.626E-1,8.233E1,8.530E1,4.729E1,4.222E-1
577,2015-08-06-20150731DJ-7-B.tif,1.988E-1,3.874E0,9.133E-1,8.470E1,8.728E1,1.607E2,5.674E-1
578,2015-08-06-20150731DJ-7-B.tif,2.675E-1,3.523E0,1.006E0,8.948E1,8.918E1,9.987E1,6.511E-1
579,2015-08-06-20150731DJ-7-B.tif,1.003E-1,1.736E0,5.027E-1,8.836E1,9.207E1,1.210E2,3.869E-1
580,2015-08-06-20150731DJ-8-B.tif,1.486E-1,1.493E0,5.208E-1,7.884E1,8.375E1,1.556E2,4.310E-1
581,2015-08-06-20150731DJ-8-B.tif,6.241E0,2.793E1,4.862E0,8.263E1,8.366E1,1.028E2,2.754E0
582,2015-08-06-20150731DJ-8-B.tif,2.508E-1,2.630E0,8.490E-1,8.022E1,8.578E1,6.604E1,6.459E-1
583,2015-08-06-20150731DJ-8-B.tif,2.246E1,3.650E1,7.891E0,7.681E1,8.845E1,1.558E2,5.205E0
584,2015-08-06-20150731DJ-8-B.tif,2.973E-1,3.107E0,9.951E-1,8.405E1,8.823E1,1.623E2,5.153E-1
585,2015-08-06-20150731DJ-9-B.tif,3.583E1,7.082E1,9.924E0,8.272E1,9.599E1,7.464E1,7.956E0
586,2015-08-06-20150731DJ-9-B.tif,5.540E0,1.514E1,4.771E0,8.819E1,8.746E1,1.084E2,2.241E0
587,2015-08-09-20150731DJ-1-B.tif,7.411E0,3.619E1,5.790E0,8.220E1,8.884E1,1.407E2,3.553E0
588,2015-08-09-20150731DJ-1-B.tif,3.006E1,9.830E1,1.069E1,7.970E1,8.866E1,1.113E2,6.087E0
589,2015-08-09-20150731DJ-1-B.tif,4.905E-1,5.869E0,1.734E0,7.789E1,9.078E1,5.512E1,7.689E-1
590,2015-08-09-20150731DJ-1-B.tif,1.505E-1,2.432E0,6.815E-1,8.190E1,9.004E1,3.470E1,4.908E-1
591,2015-08-09-20150731DJ-1-B.tif,2.285E-1,3.782E0,9.951E-1,8.280E1,9.228E1,9.497E1,6.527E-1
