Time,Isolate,Sample,Area,Count,Feret,FeretAngle,FeretX,FeretY,Label,MinFeret,Perim.,Colour,Contamination,Notes
2015-08-10 14:00:16.000000,I9A,30,105.9,1,12.94,150.0,78.36,93.49,2015-08-10-20150731DJ-30-B.tif,11.14,48.68,,,
2015-08-10 14:47:36.000000,B04,31,120.0,1,13.93,88.23,82.76,109.8,2015-08-10-20150731DJ-31-B.tif,12.22,66.02,,,
2015-08-10 13:56:40.000000,B04,32,131.7,1,14.05,163.2,71.29,97.63,2015-08-10-20150731DJ-32-B.tif,13.01,68.44,,,
2015-08-10 14:44:06.000000,B04,33,136.1,1,14.34,147.6,74.7,96.25,2015-08-10-20150731DJ-33-B.tif,13.18,66.62,,,
2015-08-10 14:18:24.000000,B04,34,136.7,1,14.57,178.8,72.67,99.74,2015-08-10-20150731DJ-34-B.tif,12.93,71.72,,,
2015-08-10 14:15:50.000000,B04,35,130.5,1,14.55,133.2,71.9,92.5,2015-08-10-20150731DJ-35-B.tif,12.82,70.08,,,
2015-08-10 14:37:38.000000,B04,36,104.7,1,13.43,102.6,76.64,96.47,2015-08-10-20150731DJ-36-B.tif,11.5,63.6,,Fungal,"Fungal contamination, appears to be Venturia."
2015-08-10 14:46:32.000000,I61A,37,200.7,1,17.28,126.6,77.67,94.66,2015-08-10-20150731DJ-37-B.tif,15.83,80.6,,,
2015-08-10 14:19:48.000000,I61A,38,212.4,1,17.71,138.6,74.31,92.41,2015-08-10-20150731DJ-38-B.tif,16.37,80.98,,,
2015-08-10 14:35:12.000000,I61A,39,220.4,1,18.11,115.2,73.79,87.84,2015-08-10-20150731DJ-39-B.tif,16.33,78.79,,,
2015-08-10 14:36:22.000000,I37A,4,69.4616,2,12.039,142.22000000000003,152.67000000000002,198.34,2015-08-10-20150731DJ-4-B.tif,10.1882,69.446,,,
2015-08-10 14:41:34.000000,I61A,40,203.3,1,17.32,70.21,75.34,102.1,2015-08-10-20150731DJ-40-B.tif,15.88,78.28,,,
2015-08-10 14:05:26.000000,I61A,41,205.5,1,16.84,49.05,76.51,107.1,2015-08-10-20150731DJ-41-B.tif,16.18,73.51,,,
2015-08-10 14:02:56.000000,I61A,42,211.1,1,17.44,125.9,77.03,90.0,2015-08-10-20150731DJ-42-B.tif,16.21,81.67,,,
2015-08-10 13:42:56.000000,I65V,43,162.9,1,15.31,117.1,77.89,88.32,2015-08-10-20150731DJ-43-B.tif,14.15,67.37,,,
2015-08-10 14:45:18.000000,I65V,44,137.6,1,14.29,8.497,72.8,99.22,2015-08-10-20150731DJ-44-B.tif,13.13,76.77,,,
2015-08-10 14:21:00.000000,I65V,45,151.9,1,15.26,132.3,71.12,92.76,2015-08-10-20150731DJ-45-B.tif,13.45,70.01,,,
2015-08-10 14:38:58.000000,I65V,46,140.7,1,14.48,117.1,78.97,92.07,2015-08-10-20150731DJ-46-B.tif,13.01,54.77,,,
2015-08-10 14:10:30.000000,I65V,47,153.7,1,15.4,119.1,74.74,97.24,2015-08-10-20150731DJ-47-B.tif,13.41,68.13,,,
2015-08-10 13:55:24.000000,I65V,48,154.3,1,15.01,94.94,80.78,91.51,2015-08-10-20150731DJ-48-B.tif,13.81,63.67,,,
2015-08-10 14:28:32.000000,I19A,49,179.7,1,16.89,108.3,74.53,91.85,2015-08-10-20150731DJ-49-B.tif,14.42,65.78,,,
2015-08-10 13:47:38.000000,I37A,5,71.99,1,11.72,160.9,74.78,91.21,2015-08-10-20150731DJ-5-B.tif,10.07,69.13,,,
2015-08-10 13:41:06.000000,I19A,50,172.2,1,15.88,122.7,75.73,86.77,2015-08-10-20150731DJ-50-B.tif,14.25,66.9,,,
2015-08-10 14:24:42.000000,I19A,51,159.6245,2,16.3433,143.35399999999998,151.25,207.8,2015-08-10-20150731DJ-51-B.tif,14.0841,71.064,,,
2015-08-10 14:11:56.000000,I19A,52,163.5,1,16.02,126.7,72.07,95.13,2015-08-10-20150731DJ-52-B.tif,14.1,63.75,,,
2015-08-10 14:31:04.000000,I19A,53,148.5,1,14.79,157.0,73.75,98.06,2015-08-10-20150731DJ-53-B.tif,13.31,63.25,,Fungal,"Fungal contamination, appears to be Venturia."
2015-08-10 13:46:34.000000,I19A,54,151.6,1,15.96,147.7,73.88,96.51,2015-08-10-20150731DJ-54-B.tif,12.77,61.23,,,
2015-08-10 13:52:32.000000,I37A,6,63.067899999999995,2,12.3764,176.01,157.11,181.98,2015-08-10-20150731DJ-6-B.tif,10.396799999999999,87.171,,,
2015-08-10 13:59:04.000000,MNH120,7,143.5,1,14.48,111.3,75.0,94.87,2015-08-10-20150731DJ-7-B.tif,13.36,57.58,,,
2015-08-10 13:39:28.000000,MNH120,8,107.1,1,13.03,137.8,77.24,93.06,2015-08-10-20150731DJ-8-B.tif,11.99,76.58,,,
2015-08-10 14:27:20.000000,MNH120,9,141.1,1,14.65,116.9,80.04,98.92,2015-08-10-20150731DJ-9-B.tif,13.25,62.68,,,
2015-08-11 14:04:16.000000,I37A,1,82.61,1,12.06,163.4,77.8,91.03,2015-08-11-20150731DJ-1-B.tif,10.97,74.43,,,
2015-08-11 14:19:08.000000,MNH120,10,161.8,1,15.5,110.0,85.04,96.47,2015-08-11-20150731DJ-10-B.tif,14.13,68.39,,,
2015-08-11 13:59:54.000000,MNH120,11,165.1,1,16.4,133.5,76.64,88.71,2015-08-11-20150731DJ-11-B.tif,13.56,70.73,,,
2015-08-11 14:03:14.000000,MNH120,12,170.5,1,17.64,113.9,78.58,83.75,2015-08-11-20150731DJ-12-B.tif,14.04,74.87,,,
2015-08-11 14:21:26.000000,I17V,13,161.5,1,15.62,108.3,85.6,98.32,2015-08-11-20150731DJ-13-B.tif,13.84,61.04,,,
2015-08-11 14:47:28.000000,I17V,14,175.0,1,15.99,132.2,80.52,104.0,2015-08-11-20150731DJ-14-B.tif,14.77,66.42,,,
2015-08-11 14:17:00.000000,I17V,15,156.0,1,15.44,115.6,84.44,97.11,2015-08-11-20150731DJ-15-B.tif,13.46,64.29,,,
2015-08-11 13:52:06.000000,I17V,16,177.0,1,16.09,126.5,77.76,92.97,2015-08-11-20150731DJ-16-B.tif,14.5,65.59,,,
2015-08-11 14:32:38.000000,I17V,17,166.2,1,16.05,114.8,84.22,94.83,2015-08-11-20150731DJ-17-B.tif,13.79,65.43,,,
2015-08-11 14:50:34.000000,I17V,18,162.3,1,15.92,97.63,87.2,91.81,2015-08-11-20150731DJ-18-B.tif,13.68,66.46,,,
2015-08-11 14:26:36.000000,USR5,19,149.3,1,15.46,116.1,76.72,90.22,2015-08-11-20150731DJ-19-B.tif,13.22,66.33,,,
2015-08-11 14:23:36.000000,I37A,2,77.86,1,11.48,30.71,81.68,105.1,2015-08-11-20150731DJ-2-B.tif,10.46,78.66,,Bacterial,Bacterial contamination at plate edge.
2015-08-11 14:10:46.000000,USR5,20,136.5,1,13.81,125.5,86.42,97.03,2015-08-11-20150731DJ-20-B.tif,13.11,59.12,,,
2015-08-11 14:49:30.000000,USR5,21,141.1,1,14.32,128.8,83.49,96.12,2015-08-11-20150731DJ-21-B.tif,13.33,64.15,,,
2015-08-11 14:34:36.000000,USR5,22,167.0,1,16.18,92.9,87.84,95.34,2015-08-11-20150731DJ-22-B.tif,13.96,68.13,,,
2015-08-11 13:50:58.000000,USR5,23,141.5,1,14.92,132.1,78.88,96.9,2015-08-11-20150731DJ-23-B.tif,12.77,58.43,,,
2015-08-11 13:46:42.000000,USR5,24,135.5,1,14.72,127.7,73.97,92.24,2015-08-11-20150731DJ-24-B.tif,12.43,55.5,,,
2015-08-11 14:18:04.000000,I9A,25,135.2,1,14.13,36.07,80.69,106.6,2015-08-11-20150731DJ-25-B.tif,13.19,78.01,,,
2015-08-11 14:48:26.000000,I9A,26,145.6,1,14.6,134.9,78.32,98.49,2015-08-11-20150731DJ-26-B.tif,13.71,83.12,,,
2015-08-11 13:47:50.000000,I9A,27,133.8,1,14.73,106.3,74.27,89.4,2015-08-11-20150731DJ-27-B.tif,12.47,79.01,,,
